"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","Create file","LMS service","Wed Dec 03 07:32:43 UTC 2025","passed","Wed Dec 03 07:32:43 UTC 2025","Create entity","Files","",""
"","283","Create user","LMS service","Wed Dec 03 07:32:47 UTC 2025","passed","Wed Dec 03 07:32:47 UTC 2025","Create entity","Users","",""
"","14","Get exercises","LMS service","Wed Dec 03 07:32:43 UTC 2025","passed","Wed Dec 03 07:32:43 UTC 2025","Get entities","Exercises","",""
"","14","Get exercise","LMS service","Wed Dec 03 07:32:41 UTC 2025","passed","Wed Dec 03 07:32:41 UTC 2025","Get entity","Exercises","",""
"","19","Delete file","LMS service","Wed Dec 03 07:32:45 UTC 2025","passed","Wed Dec 03 07:32:45 UTC 2025","Delete entity","Files","",""
"","283","Create user","LMS service","Wed Dec 03 07:32:47 UTC 2025","passed","Wed Dec 03 07:32:47 UTC 2025","Create entity","Users","",""
"","17","Update exercise","LMS service","Wed Dec 03 07:32:41 UTC 2025","passed","Wed Dec 03 07:32:41 UTC 2025","Update entity","Exercises","",""
"","28","Create course","LMS service","Wed Dec 03 07:32:38 UTC 2025","passed","Wed Dec 03 07:32:38 UTC 2025","Create entity","Courses","",""
"","282","Login with correct email and password","LMS service","Wed Dec 03 07:32:37 UTC 2025","passed","Wed Dec 03 07:32:37 UTC 2025","Login","Authentication","",""
"","25","Update course","LMS service","Wed Dec 03 07:32:39 UTC 2025","passed","Wed Dec 03 07:32:39 UTC 2025","Update entity","Courses","",""
"","13","Get file with incorrect file_id","LMS service","Wed Dec 03 07:32:45 UTC 2025","passed","Wed Dec 03 07:32:45 UTC 2025","Validate entity","Files","",""
"","17","Delete exercise","LMS service","Wed Dec 03 07:32:42 UTC 2025","passed","Wed Dec 03 07:32:42 UTC 2025","Delete entity","Exercises","",""
"","284","Create user","LMS service","Wed Dec 03 07:32:47 UTC 2025","passed","Wed Dec 03 07:32:47 UTC 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Wed Dec 03 07:32:48 UTC 2025","passed","Wed Dec 03 07:32:48 UTC 2025","Get entity","Users","",""
"","24","Create file with empty filename","LMS service","Wed Dec 03 07:32:46 UTC 2025","passed","Wed Dec 03 07:32:46 UTC 2025","Validate entity","Files","",""
"","27","Get courses","LMS service","Wed Dec 03 07:32:39 UTC 2025","passed","Wed Dec 03 07:32:39 UTC 2025","Get entities","Courses","",""
"","11","Get file","LMS service","Wed Dec 03 07:32:44 UTC 2025","passed","Wed Dec 03 07:32:44 UTC 2025","Get entity","Files","",""
"","21","Create exercise","LMS service","Wed Dec 03 07:32:40 UTC 2025","passed","Wed Dec 03 07:32:40 UTC 2025","Create entity","Exercises","",""
"","14","Create file with empty directory","LMS service","Wed Dec 03 07:32:47 UTC 2025","passed","Wed Dec 03 07:32:47 UTC 2025","Validate entity","Files","",""
