"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Update exercise","LMS service","Tue Sep 23 15:00:35 UTC 2025","passed","Tue Sep 23 15:00:35 UTC 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Tue Sep 23 15:00:41 UTC 2025","passed","Tue Sep 23 15:00:41 UTC 2025","Get entity","Users","",""
"","22","Create file with empty filename","LMS service","Tue Sep 23 15:00:39 UTC 2025","passed","Tue Sep 23 15:00:39 UTC 2025","Validate entity","Files","",""
"","18","Delete file","LMS service","Tue Sep 23 15:00:39 UTC 2025","passed","Tue Sep 23 15:00:39 UTC 2025","Delete entity","Files","",""
"","517","Create user","LMS service","Tue Sep 23 15:00:40 UTC 2025","passed","Tue Sep 23 15:00:40 UTC 2025","Create entity","Users","",""
"","33","Update course","LMS service","Tue Sep 23 15:00:32 UTC 2025","passed","Tue Sep 23 15:00:32 UTC 2025","Update entity","Courses","",""
"","557","Create user","LMS service","Tue Sep 23 15:00:40 UTC 2025","passed","Tue Sep 23 15:00:41 UTC 2025","Create entity","Users","",""
"","19","Create exercise","LMS service","Tue Sep 23 15:00:35 UTC 2025","passed","Tue Sep 23 15:00:35 UTC 2025","Create entity","Exercises","",""
"","13","Get file with incorrect file_id","LMS service","Tue Sep 23 15:00:38 UTC 2025","passed","Tue Sep 23 15:00:38 UTC 2025","Validate entity","Files","",""
"","31","Create course","LMS service","Tue Sep 23 15:00:33 UTC 2025","passed","Tue Sep 23 15:00:33 UTC 2025","Create entity","Courses","",""
"","17","Delete exercise","LMS service","Tue Sep 23 15:00:36 UTC 2025","passed","Tue Sep 23 15:00:36 UTC 2025","Delete entity","Exercises","",""
"","13","Get file","LMS service","Tue Sep 23 15:00:38 UTC 2025","passed","Tue Sep 23 15:00:38 UTC 2025","Get entity","Files","",""
"","25","Get courses","LMS service","Tue Sep 23 15:00:33 UTC 2025","passed","Tue Sep 23 15:00:33 UTC 2025","Get entities","Courses","",""
"","264","Create file with empty directory","LMS service","Tue Sep 23 15:00:40 UTC 2025","passed","Tue Sep 23 15:00:40 UTC 2025","Validate entity","Files","",""
"","546","Create user","LMS service","Tue Sep 23 15:00:39 UTC 2025","passed","Tue Sep 23 15:00:40 UTC 2025","Create entity","Users","",""
"","553","Login with correct email and password","LMS service","Tue Sep 23 15:00:32 UTC 2025","passed","Tue Sep 23 15:00:32 UTC 2025","Login","Authentication","",""
"","19","Get exercises","LMS service","Tue Sep 23 15:00:37 UTC 2025","passed","Tue Sep 23 15:00:37 UTC 2025","Get entities","Exercises","",""
"","24","Get exercise","LMS service","Tue Sep 23 15:00:36 UTC 2025","passed","Tue Sep 23 15:00:36 UTC 2025","Get entity","Exercises","",""
"","53","Create file","LMS service","Tue Sep 23 15:00:37 UTC 2025","passed","Tue Sep 23 15:00:37 UTC 2025","Create entity","Files","",""
