"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Create file with empty filename","LMS service","Wed Sep 24 13:31:51 UTC 2025","passed","Wed Sep 24 13:31:51 UTC 2025","Validate entity","Files","",""
"","285","Create user","LMS service","Wed Sep 24 13:31:52 UTC 2025","passed","Wed Sep 24 13:31:52 UTC 2025","Create entity","Users","",""
"","31","Create course","LMS service","Wed Sep 24 13:31:42 UTC 2025","passed","Wed Sep 24 13:31:42 UTC 2025","Create entity","Courses","",""
"","285","Create user","LMS service","Wed Sep 24 13:31:52 UTC 2025","passed","Wed Sep 24 13:31:53 UTC 2025","Create entity","Users","",""
"","12","Get file","LMS service","Wed Sep 24 13:31:49 UTC 2025","passed","Wed Sep 24 13:31:49 UTC 2025","Get entity","Files","",""
"","15","Get exercises","LMS service","Wed Sep 24 13:31:48 UTC 2025","passed","Wed Sep 24 13:31:48 UTC 2025","Get entities","Exercises","",""
"","13","Get user me","LMS service","Wed Sep 24 13:31:53 UTC 2025","passed","Wed Sep 24 13:31:53 UTC 2025","Get entity","Users","",""
"","284","Create user","LMS service","Wed Sep 24 13:31:52 UTC 2025","passed","Wed Sep 24 13:31:52 UTC 2025","Create entity","Users","",""
"","29","Get courses","LMS service","Wed Sep 24 13:31:44 UTC 2025","passed","Wed Sep 24 13:31:44 UTC 2025","Get entities","Courses","",""
"","17","Delete exercise","LMS service","Wed Sep 24 13:31:47 UTC 2025","passed","Wed Sep 24 13:31:47 UTC 2025","Delete entity","Exercises","",""
"","21","Update exercise","LMS service","Wed Sep 24 13:31:46 UTC 2025","passed","Wed Sep 24 13:31:46 UTC 2025","Update entity","Exercises","",""
"","18","Delete file","LMS service","Wed Sep 24 13:31:50 UTC 2025","passed","Wed Sep 24 13:31:50 UTC 2025","Delete entity","Files","",""
"","16","Get file with incorrect file_id","LMS service","Wed Sep 24 13:31:50 UTC 2025","passed","Wed Sep 24 13:31:50 UTC 2025","Validate entity","Files","",""
"","56","Create file","LMS service","Wed Sep 24 13:31:48 UTC 2025","passed","Wed Sep 24 13:31:49 UTC 2025","Create entity","Files","",""
"","15","Create file with empty directory","LMS service","Wed Sep 24 13:31:52 UTC 2025","passed","Wed Sep 24 13:31:52 UTC 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Wed Sep 24 13:31:44 UTC 2025","passed","Wed Sep 24 13:31:44 UTC 2025","Create entity","Exercises","",""
"","279","Login with correct email and password","LMS service","Wed Sep 24 13:31:41 UTC 2025","failed","Wed Sep 24 13:31:42 UTC 2025","Login","Authentication","",""
"","27","Update course","LMS service","Wed Sep 24 13:31:43 UTC 2025","passed","Wed Sep 24 13:31:43 UTC 2025","Update entity","Courses","",""
"","18","Get exercise","LMS service","Wed Sep 24 13:31:45 UTC 2025","passed","Wed Sep 24 13:31:45 UTC 2025","Get entity","Exercises","",""
