"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19","Delete exercise","LMS service","Wed Sep 24 13:36:35 UTC 2025","passed","Wed Sep 24 13:36:35 UTC 2025","Delete entity","Exercises","",""
"","285","Create user","LMS service","Wed Sep 24 13:36:40 UTC 2025","passed","Wed Sep 24 13:36:40 UTC 2025","Create entity","Users","",""
"","30","Create course","LMS service","Wed Sep 24 13:36:31 UTC 2025","passed","Wed Sep 24 13:36:31 UTC 2025","Create entity","Courses","",""
"","14","Get exercise","LMS service","Wed Sep 24 13:36:34 UTC 2025","passed","Wed Sep 24 13:36:34 UTC 2025","Get entity","Exercises","",""
"","19","Delete file","LMS service","Wed Sep 24 13:36:39 UTC 2025","passed","Wed Sep 24 13:36:39 UTC 2025","Delete entity","Files","",""
"","15","Get file with incorrect file_id","LMS service","Wed Sep 24 13:36:38 UTC 2025","passed","Wed Sep 24 13:36:38 UTC 2025","Validate entity","Files","",""
"","12","Get file","LMS service","Wed Sep 24 13:36:37 UTC 2025","passed","Wed Sep 24 13:36:37 UTC 2025","Get entity","Files","",""
"","21","Update exercise","LMS service","Wed Sep 24 13:36:35 UTC 2025","passed","Wed Sep 24 13:36:35 UTC 2025","Update entity","Exercises","",""
"","284","Create user","LMS service","Wed Sep 24 13:36:40 UTC 2025","passed","Wed Sep 24 13:36:41 UTC 2025","Create entity","Users","",""
"","29","Get courses","LMS service","Wed Sep 24 13:36:33 UTC 2025","passed","Wed Sep 24 13:36:33 UTC 2025","Get entities","Courses","",""
"","26","Create file with empty filename","LMS service","Wed Sep 24 13:36:39 UTC 2025","passed","Wed Sep 24 13:36:39 UTC 2025","Validate entity","Files","",""
"","14","Get user me","LMS service","Wed Sep 24 13:36:41 UTC 2025","passed","Wed Sep 24 13:36:41 UTC 2025","Get entity","Users","",""
"","19","Create exercise","LMS service","Wed Sep 24 13:36:33 UTC 2025","passed","Wed Sep 24 13:36:33 UTC 2025","Create entity","Exercises","",""
"","16","Create file with empty directory","LMS service","Wed Sep 24 13:36:40 UTC 2025","passed","Wed Sep 24 13:36:40 UTC 2025","Validate entity","Files","",""
"","55","Create file","LMS service","Wed Sep 24 13:36:37 UTC 2025","passed","Wed Sep 24 13:36:37 UTC 2025","Create entity","Files","",""
"","284","Create user","LMS service","Wed Sep 24 13:36:41 UTC 2025","passed","Wed Sep 24 13:36:41 UTC 2025","Create entity","Users","",""
"","282","Login with correct email and password","LMS service","Wed Sep 24 13:36:30 UTC 2025","passed","Wed Sep 24 13:36:31 UTC 2025","Login","Authentication","",""
"","26","Update course","LMS service","Wed Sep 24 13:36:32 UTC 2025","passed","Wed Sep 24 13:36:32 UTC 2025","Update entity","Courses","",""
"","15","Get exercises","LMS service","Wed Sep 24 13:36:36 UTC 2025","passed","Wed Sep 24 13:36:36 UTC 2025","Get entities","Exercises","",""
