"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Create user","LMS service","Wed Sep 24 12:35:30 UTC 2025","passed","Wed Sep 24 12:35:30 UTC 2025","Create entity","Users","",""
"","31","Create course","LMS service","Wed Sep 24 12:35:21 UTC 2025","passed","Wed Sep 24 12:35:21 UTC 2025","Create entity","Courses","",""
"","13","Get user me","LMS service","Wed Sep 24 12:35:31 UTC 2025","passed","Wed Sep 24 12:35:31 UTC 2025","Get entity","Users","",""
"","14","Create file with empty directory","LMS service","Wed Sep 24 12:35:30 UTC 2025","passed","Wed Sep 24 12:35:30 UTC 2025","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Wed Sep 24 12:35:25 UTC 2025","passed","Wed Sep 24 12:35:25 UTC 2025","Delete entity","Exercises","",""
"","15","Get exercise","LMS service","Wed Sep 24 12:35:24 UTC 2025","passed","Wed Sep 24 12:35:24 UTC 2025","Get entity","Exercises","",""
"","15","Get exercises","LMS service","Wed Sep 24 12:35:26 UTC 2025","passed","Wed Sep 24 12:35:26 UTC 2025","Get entities","Exercises","",""
"","20","Update exercise","LMS service","Wed Sep 24 12:35:24 UTC 2025","passed","Wed Sep 24 12:35:24 UTC 2025","Update entity","Exercises","",""
"","285","Create user","LMS service","Wed Sep 24 12:35:30 UTC 2025","passed","Wed Sep 24 12:35:30 UTC 2025","Create entity","Users","",""
"","284","Login with correct email and password","LMS service","Wed Sep 24 12:35:20 UTC 2025","passed","Wed Sep 24 12:35:20 UTC 2025","Login","Authentication","",""
"","28","Get courses","LMS service","Wed Sep 24 12:35:22 UTC 2025","passed","Wed Sep 24 12:35:22 UTC 2025","Get entities","Courses","",""
"","27","Update course","LMS service","Wed Sep 24 12:35:22 UTC 2025","passed","Wed Sep 24 12:35:22 UTC 2025","Update entity","Courses","",""
"","17","Delete file","LMS service","Wed Sep 24 12:35:28 UTC 2025","passed","Wed Sep 24 12:35:28 UTC 2025","Delete entity","Files","",""
"","58","Create file","LMS service","Wed Sep 24 12:35:26 UTC 2025","passed","Wed Sep 24 12:35:26 UTC 2025","Create entity","Files","",""
"","285","Create user","LMS service","Wed Sep 24 12:35:30 UTC 2025","passed","Wed Sep 24 12:35:30 UTC 2025","Create entity","Users","",""
"","20","Create exercise","LMS service","Wed Sep 24 12:35:23 UTC 2025","passed","Wed Sep 24 12:35:23 UTC 2025","Create entity","Exercises","",""
"","26","Create file with empty filename","LMS service","Wed Sep 24 12:35:29 UTC 2025","passed","Wed Sep 24 12:35:29 UTC 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Wed Sep 24 12:35:27 UTC 2025","passed","Wed Sep 24 12:35:27 UTC 2025","Get entity","Files","",""
"","14","Get file with incorrect file_id","LMS service","Wed Sep 24 12:35:28 UTC 2025","passed","Wed Sep 24 12:35:28 UTC 2025","Validate entity","Files","",""
