"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get exercises","LMS service","Wed Sep 24 10:20:07 UTC 2025","passed","Wed Sep 24 10:20:07 UTC 2025","Get entities","Exercises","",""
"","11","Get file","LMS service","Wed Sep 24 10:20:08 UTC 2025","passed","Wed Sep 24 10:20:08 UTC 2025","Get entity","Files","",""
"","26","Get courses","LMS service","Wed Sep 24 10:20:04 UTC 2025","passed","Wed Sep 24 10:20:04 UTC 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Wed Sep 24 10:20:13 UTC 2025","passed","Wed Sep 24 10:20:13 UTC 2025","Get entity","Users","",""
"","15","Delete exercise","LMS service","Wed Sep 24 10:20:06 UTC 2025","passed","Wed Sep 24 10:20:06 UTC 2025","Delete entity","Exercises","",""
"","282","Create user","LMS service","Wed Sep 24 10:20:12 UTC 2025","passed","Wed Sep 24 10:20:12 UTC 2025","Create entity","Users","",""
"","51","Create file","LMS service","Wed Sep 24 10:20:08 UTC 2025","passed","Wed Sep 24 10:20:08 UTC 2025","Create entity","Files","",""
"","18","Update exercise","LMS service","Wed Sep 24 10:20:06 UTC 2025","passed","Wed Sep 24 10:20:06 UTC 2025","Update entity","Exercises","",""
"","22","Create file with empty filename","LMS service","Wed Sep 24 10:20:11 UTC 2025","passed","Wed Sep 24 10:20:11 UTC 2025","Validate entity","Files","",""
"","13","Get file with incorrect file_id","LMS service","Wed Sep 24 10:20:09 UTC 2025","passed","Wed Sep 24 10:20:09 UTC 2025","Validate entity","Files","",""
"","28","Create course","LMS service","Wed Sep 24 10:20:02 UTC 2025","passed","Wed Sep 24 10:20:02 UTC 2025","Create entity","Courses","",""
"","24","Update course","LMS service","Wed Sep 24 10:20:03 UTC 2025","passed","Wed Sep 24 10:20:03 UTC 2025","Update entity","Courses","",""
"","277","Login with correct email and password","LMS service","Wed Sep 24 10:20:01 UTC 2025","failed","Wed Sep 24 10:20:02 UTC 2025","Login","Authentication","",""
"","282","Create user","LMS service","Wed Sep 24 10:20:12 UTC 2025","passed","Wed Sep 24 10:20:12 UTC 2025","Create entity","Users","",""
"","14","Get exercise","LMS service","Wed Sep 24 10:20:05 UTC 2025","passed","Wed Sep 24 10:20:05 UTC 2025","Get entity","Exercises","",""
"","18","Create exercise","LMS service","Wed Sep 24 10:20:04 UTC 2025","passed","Wed Sep 24 10:20:04 UTC 2025","Create entity","Exercises","",""
"","282","Create user","LMS service","Wed Sep 24 10:20:12 UTC 2025","passed","Wed Sep 24 10:20:12 UTC 2025","Create entity","Users","",""
"","14","Create file with empty directory","LMS service","Wed Sep 24 10:20:11 UTC 2025","passed","Wed Sep 24 10:20:11 UTC 2025","Validate entity","Files","",""
"","18","Delete file","LMS service","Wed Sep 24 10:20:10 UTC 2025","passed","Wed Sep 24 10:20:10 UTC 2025","Delete entity","Files","",""
