"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create file with empty filename","LMS service","Wed Sep 24 12:51:10 UTC 2025","passed","Wed Sep 24 12:51:10 UTC 2025","Validate entity","Files","",""
"","17","Create exercise","LMS service","Wed Sep 24 12:51:05 UTC 2025","passed","Wed Sep 24 12:51:05 UTC 2025","Create entity","Exercises","",""
"","268","Create user","LMS service","Wed Sep 24 12:51:11 UTC 2025","passed","Wed Sep 24 12:51:11 UTC 2025","Create entity","Users","",""
"","24","Get courses","LMS service","Wed Sep 24 12:51:04 UTC 2025","passed","Wed Sep 24 12:51:04 UTC 2025","Get entities","Courses","",""
"","269","Create user","LMS service","Wed Sep 24 12:51:11 UTC 2025","passed","Wed Sep 24 12:51:11 UTC 2025","Create entity","Users","",""
"","13","Get file with incorrect file_id","LMS service","Wed Sep 24 12:51:09 UTC 2025","passed","Wed Sep 24 12:51:09 UTC 2025","Validate entity","Files","",""
"","13","Create file with empty directory","LMS service","Wed Sep 24 12:51:11 UTC 2025","passed","Wed Sep 24 12:51:11 UTC 2025","Validate entity","Files","",""
"","16","Update exercise","LMS service","Wed Sep 24 12:51:06 UTC 2025","passed","Wed Sep 24 12:51:06 UTC 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Wed Sep 24 12:51:12 UTC 2025","passed","Wed Sep 24 12:51:12 UTC 2025","Get entity","Users","",""
"","24","Update course","LMS service","Wed Sep 24 12:51:03 UTC 2025","passed","Wed Sep 24 12:51:03 UTC 2025","Update entity","Courses","",""
"","12","Get exercise","LMS service","Wed Sep 24 12:51:05 UTC 2025","passed","Wed Sep 24 12:51:05 UTC 2025","Get entity","Exercises","",""
"","15","Delete file","LMS service","Wed Sep 24 12:51:10 UTC 2025","passed","Wed Sep 24 12:51:10 UTC 2025","Delete entity","Files","",""
"","269","Create user","LMS service","Wed Sep 24 12:51:11 UTC 2025","passed","Wed Sep 24 12:51:12 UTC 2025","Create entity","Users","",""
"","267","Login with correct email and password","LMS service","Wed Sep 24 12:51:02 UTC 2025","passed","Wed Sep 24 12:51:02 UTC 2025","Login","Authentication","",""
"","11","Get file","LMS service","Wed Sep 24 12:51:08 UTC 2025","passed","Wed Sep 24 12:51:08 UTC 2025","Get entity","Files","",""
"","13","Get exercises","LMS service","Wed Sep 24 12:51:07 UTC 2025","passed","Wed Sep 24 12:51:07 UTC 2025","Get entities","Exercises","",""
"","27","Create course","LMS service","Wed Sep 24 12:51:03 UTC 2025","passed","Wed Sep 24 12:51:03 UTC 2025","Create entity","Courses","",""
"","15","Delete exercise","LMS service","Wed Sep 24 12:51:06 UTC 2025","passed","Wed Sep 24 12:51:07 UTC 2025","Delete entity","Exercises","",""
"","51","Create file","LMS service","Wed Sep 24 12:51:08 UTC 2025","passed","Wed Sep 24 12:51:08 UTC 2025","Create entity","Files","",""
