"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Create exercise","LMS service","Tue Nov 11 15:34:20 UTC 2025","passed","Tue Nov 11 15:34:20 UTC 2025","Create entity","Exercises","",""
"","12","Get file","LMS service","Tue Nov 11 15:34:25 UTC 2025","passed","Tue Nov 11 15:34:25 UTC 2025","Get entity","Files","",""
"","284","Create user","LMS service","Tue Nov 11 15:34:28 UTC 2025","passed","Tue Nov 11 15:34:28 UTC 2025","Create entity","Users","",""
"","53","Create file","LMS service","Tue Nov 11 15:34:24 UTC 2025","passed","Tue Nov 11 15:34:24 UTC 2025","Create entity","Files","",""
"","17","Delete exercise","LMS service","Tue Nov 11 15:34:23 UTC 2025","passed","Tue Nov 11 15:34:23 UTC 2025","Delete entity","Exercises","",""
"","18","Update exercise","LMS service","Tue Nov 11 15:34:22 UTC 2025","passed","Tue Nov 11 15:34:22 UTC 2025","Update entity","Exercises","",""
"","14","Create file with empty directory","LMS service","Tue Nov 11 15:34:27 UTC 2025","passed","Tue Nov 11 15:34:27 UTC 2025","Validate entity","Files","",""
"","283","Create user","LMS service","Tue Nov 11 15:34:28 UTC 2025","passed","Tue Nov 11 15:34:28 UTC 2025","Create entity","Users","",""
"","26","Get courses","LMS service","Tue Nov 11 15:34:20 UTC 2025","passed","Tue Nov 11 15:34:20 UTC 2025","Get entities","Courses","",""
"","18","Delete file","LMS service","Tue Nov 11 15:34:26 UTC 2025","passed","Tue Nov 11 15:34:26 UTC 2025","Delete entity","Files","",""
"","25","Create file with empty filename","LMS service","Tue Nov 11 15:34:27 UTC 2025","passed","Tue Nov 11 15:34:27 UTC 2025","Validate entity","Files","",""
"","284","Create user","LMS service","Tue Nov 11 15:34:27 UTC 2025","passed","Tue Nov 11 15:34:28 UTC 2025","Create entity","Users","",""
"","28","Create course","LMS service","Tue Nov 11 15:34:18 UTC 2025","passed","Tue Nov 11 15:34:18 UTC 2025","Create entity","Courses","",""
"","14","Get exercises","LMS service","Tue Nov 11 15:34:23 UTC 2025","passed","Tue Nov 11 15:34:23 UTC 2025","Get entities","Exercises","",""
"","281","Login with correct email and password","LMS service","Tue Nov 11 15:34:18 UTC 2025","passed","Tue Nov 11 15:34:18 UTC 2025","Login","Authentication","",""
"","14","Get file with incorrect file_id","LMS service","Tue Nov 11 15:34:25 UTC 2025","passed","Tue Nov 11 15:34:25 UTC 2025","Validate entity","Files","",""
"","25","Update course","LMS service","Tue Nov 11 15:34:19 UTC 2025","passed","Tue Nov 11 15:34:19 UTC 2025","Update entity","Courses","",""
"","16","Get exercise","LMS service","Tue Nov 11 15:34:21 UTC 2025","passed","Tue Nov 11 15:34:21 UTC 2025","Get entity","Exercises","",""
"","12","Get user me","LMS service","Tue Nov 11 15:34:29 UTC 2025","passed","Tue Nov 11 15:34:29 UTC 2025","Get entity","Users","",""
