"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Create file with empty filename","LMS service","Tue Nov 11 14:55:05 UTC 2025","passed","Tue Nov 11 14:55:05 UTC 2025","Validate entity","Files","",""
"","16","Delete exercise","LMS service","Tue Nov 11 14:55:01 UTC 2025","passed","Tue Nov 11 14:55:01 UTC 2025","Delete entity","Exercises","",""
"","20","Create exercise","LMS service","Tue Nov 11 14:54:59 UTC 2025","passed","Tue Nov 11 14:54:59 UTC 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Tue Nov 11 14:55:08 UTC 2025","passed","Tue Nov 11 14:55:08 UTC 2025","Get entity","Users","",""
"","14","Get file with incorrect file_id","LMS service","Tue Nov 11 14:55:04 UTC 2025","passed","Tue Nov 11 14:55:04 UTC 2025","Validate entity","Files","",""
"","19","Update exercise","LMS service","Tue Nov 11 14:55:01 UTC 2025","passed","Tue Nov 11 14:55:01 UTC 2025","Update entity","Exercises","",""
"","18","Delete file","LMS service","Tue Nov 11 14:55:05 UTC 2025","passed","Tue Nov 11 14:55:05 UTC 2025","Delete entity","Files","",""
"","29","Create course","LMS service","Tue Nov 11 14:54:57 UTC 2025","passed","Tue Nov 11 14:54:57 UTC 2025","Create entity","Courses","",""
"","12","Get file","LMS service","Tue Nov 11 14:55:03 UTC 2025","passed","Tue Nov 11 14:55:03 UTC 2025","Get entity","Files","",""
"","53","Create file","LMS service","Tue Nov 11 14:55:03 UTC 2025","passed","Tue Nov 11 14:55:03 UTC 2025","Create entity","Files","",""
"","13","Get exercise","LMS service","Tue Nov 11 14:55:00 UTC 2025","passed","Tue Nov 11 14:55:00 UTC 2025","Get entity","Exercises","",""
"","285","Create user","LMS service","Tue Nov 11 14:55:06 UTC 2025","passed","Tue Nov 11 14:55:07 UTC 2025","Create entity","Users","",""
"","285","Create user","LMS service","Tue Nov 11 14:55:07 UTC 2025","passed","Tue Nov 11 14:55:07 UTC 2025","Create entity","Users","",""
"","282","Login with correct email and password","LMS service","Tue Nov 11 14:54:56 UTC 2025","passed","Tue Nov 11 14:54:57 UTC 2025","Login","Authentication","",""
"","25","Get courses","LMS service","Tue Nov 11 14:54:59 UTC 2025","passed","Tue Nov 11 14:54:59 UTC 2025","Get entities","Courses","",""
"","15","Create file with empty directory","LMS service","Tue Nov 11 14:55:06 UTC 2025","passed","Tue Nov 11 14:55:06 UTC 2025","Validate entity","Files","",""
"","25","Update course","LMS service","Tue Nov 11 14:54:58 UTC 2025","passed","Tue Nov 11 14:54:58 UTC 2025","Update entity","Courses","",""
"","14","Get exercises","LMS service","Tue Nov 11 14:55:02 UTC 2025","passed","Tue Nov 11 14:55:02 UTC 2025","Get entities","Exercises","",""
"","285","Create user","LMS service","Tue Nov 11 14:55:06 UTC 2025","passed","Tue Nov 11 14:55:06 UTC 2025","Create entity","Users","",""
