"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Create course","LMS service","Tue Sep 23 12:26:47 UTC 2025","passed","Tue Sep 23 12:26:47 UTC 2025","Create entity","Courses","",""
"","18","Get exercises","LMS service","Tue Sep 23 12:26:50 UTC 2025","passed","Tue Sep 23 12:26:50 UTC 2025","Get entities","Exercises","",""
"","259","Get file with incorrect file_id","LMS service","Tue Sep 23 12:26:52 UTC 2025","passed","Tue Sep 23 12:26:52 UTC 2025","Validate entity","Files","",""
"","15","Get file","LMS service","Tue Sep 23 12:26:52 UTC 2025","passed","Tue Sep 23 12:26:52 UTC 2025","Get entity","Files","",""
"","558","Create user","LMS service","Tue Sep 23 12:26:54 UTC 2025","passed","Tue Sep 23 12:26:55 UTC 2025","Create entity","Users","",""
"","285","Login with correct email and password","LMS service","Tue Sep 23 12:26:45 UTC 2025","passed","Tue Sep 23 12:26:46 UTC 2025","Login","Authentication","",""
"","31","Get courses","LMS service","Tue Sep 23 12:26:47 UTC 2025","passed","Tue Sep 23 12:26:47 UTC 2025","Get entities","Courses","",""
"","24","Get exercise","LMS service","Tue Sep 23 12:26:49 UTC 2025","passed","Tue Sep 23 12:26:49 UTC 2025","Get entity","Exercises","",""
"","269","Create file with empty directory","LMS service","Tue Sep 23 12:26:54 UTC 2025","passed","Tue Sep 23 12:26:54 UTC 2025","Validate entity","Files","",""
"","21","Delete file","LMS service","Tue Sep 23 12:26:53 UTC 2025","passed","Tue Sep 23 12:26:53 UTC 2025","Delete entity","Files","",""
"","535","Create user","LMS service","Tue Sep 23 12:26:53 UTC 2025","passed","Tue Sep 23 12:26:54 UTC 2025","Create entity","Users","",""
"","290","Delete exercise","LMS service","Tue Sep 23 12:26:50 UTC 2025","passed","Tue Sep 23 12:26:50 UTC 2025","Delete entity","Exercises","",""
"","21","Create exercise","LMS service","Tue Sep 23 12:26:48 UTC 2025","passed","Tue Sep 23 12:26:48 UTC 2025","Create entity","Exercises","",""
"","270","Create file with empty filename","LMS service","Tue Sep 23 12:26:53 UTC 2025","passed","Tue Sep 23 12:26:53 UTC 2025","Validate entity","Files","",""
"","292","Update exercise","LMS service","Tue Sep 23 12:26:49 UTC 2025","passed","Tue Sep 23 12:26:49 UTC 2025","Update entity","Exercises","",""
"","305","Update course","LMS service","Tue Sep 23 12:26:46 UTC 2025","passed","Tue Sep 23 12:26:46 UTC 2025","Update entity","Courses","",""
"","557","Create user","LMS service","Tue Sep 23 12:26:54 UTC 2025","passed","Tue Sep 23 12:26:55 UTC 2025","Create entity","Users","",""
"","13","Get user me","LMS service","Tue Sep 23 12:26:55 UTC 2025","passed","Tue Sep 23 12:26:55 UTC 2025","Get entity","Users","",""
"","576","Create file","LMS service","Tue Sep 23 12:26:51 UTC 2025","passed","Tue Sep 23 12:26:51 UTC 2025","Create entity","Files","",""
