"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Get file with incorrect file_id","LMS service","Wed Sep 24 12:40:13 UTC 2025","passed","Wed Sep 24 12:40:13 UTC 2025","Validate entity","Files","",""
"","14","Get exercise","LMS service","Wed Sep 24 12:40:09 UTC 2025","passed","Wed Sep 24 12:40:09 UTC 2025","Get entity","Exercises","",""
"","18","Update exercise","LMS service","Wed Sep 24 12:40:10 UTC 2025","passed","Wed Sep 24 12:40:10 UTC 2025","Update entity","Exercises","",""
"","27","Get courses","LMS service","Wed Sep 24 12:40:08 UTC 2025","passed","Wed Sep 24 12:40:08 UTC 2025","Get entities","Courses","",""
"","285","Create user","LMS service","Wed Sep 24 12:40:16 UTC 2025","passed","Wed Sep 24 12:40:16 UTC 2025","Create entity","Users","",""
"","281","Login with correct email and password","LMS service","Wed Sep 24 12:40:06 UTC 2025","passed","Wed Sep 24 12:40:06 UTC 2025","Login","Authentication","",""
"","28","Create course","LMS service","Wed Sep 24 12:40:07 UTC 2025","passed","Wed Sep 24 12:40:07 UTC 2025","Create entity","Courses","",""
"","17","Delete file","LMS service","Wed Sep 24 12:40:14 UTC 2025","passed","Wed Sep 24 12:40:14 UTC 2025","Delete entity","Files","",""
"","284","Create user","LMS service","Wed Sep 24 12:40:16 UTC 2025","passed","Wed Sep 24 12:40:16 UTC 2025","Create entity","Users","",""
"","55","Create file","LMS service","Wed Sep 24 12:40:12 UTC 2025","passed","Wed Sep 24 12:40:12 UTC 2025","Create entity","Files","",""
"","19","Create exercise","LMS service","Wed Sep 24 12:40:09 UTC 2025","passed","Wed Sep 24 12:40:09 UTC 2025","Create entity","Exercises","",""
"","285","Create user","LMS service","Wed Sep 24 12:40:15 UTC 2025","passed","Wed Sep 24 12:40:16 UTC 2025","Create entity","Users","",""
"","25","Create file with empty filename","LMS service","Wed Sep 24 12:40:15 UTC 2025","passed","Wed Sep 24 12:40:15 UTC 2025","Validate entity","Files","",""
"","16","Delete exercise","LMS service","Wed Sep 24 12:40:11 UTC 2025","passed","Wed Sep 24 12:40:11 UTC 2025","Delete entity","Exercises","",""
"","15","Create file with empty directory","LMS service","Wed Sep 24 12:40:15 UTC 2025","passed","Wed Sep 24 12:40:15 UTC 2025","Validate entity","Files","",""
"","26","Update course","LMS service","Wed Sep 24 12:40:07 UTC 2025","passed","Wed Sep 24 12:40:07 UTC 2025","Update entity","Courses","",""
"","12","Get file","LMS service","Wed Sep 24 12:40:13 UTC 2025","passed","Wed Sep 24 12:40:13 UTC 2025","Get entity","Files","",""
"","15","Get exercises","LMS service","Wed Sep 24 12:40:11 UTC 2025","passed","Wed Sep 24 12:40:11 UTC 2025","Get entities","Exercises","",""
"","13","Get user me","LMS service","Wed Sep 24 12:40:17 UTC 2025","passed","Wed Sep 24 12:40:17 UTC 2025","Get entity","Users","",""
