"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283","Create user","LMS service","Wed Sep 24 13:19:25 UTC 2025","passed","Wed Sep 24 13:19:26 UTC 2025","Create entity","Users","",""
"","14","Get exercises","LMS service","Wed Sep 24 13:19:21 UTC 2025","passed","Wed Sep 24 13:19:21 UTC 2025","Get entities","Exercises","",""
"","14","Create file with empty directory","LMS service","Wed Sep 24 13:19:25 UTC 2025","passed","Wed Sep 24 13:19:25 UTC 2025","Validate entity","Files","",""
"","23","Create file with empty filename","LMS service","Wed Sep 24 13:19:25 UTC 2025","passed","Wed Sep 24 13:19:25 UTC 2025","Validate entity","Files","",""
"","20","Create exercise","LMS service","Wed Sep 24 13:19:19 UTC 2025","passed","Wed Sep 24 13:19:19 UTC 2025","Create entity","Exercises","",""
"","11","Get file","LMS service","Wed Sep 24 13:19:23 UTC 2025","passed","Wed Sep 24 13:19:23 UTC 2025","Get entity","Files","",""
"","26","Update course","LMS service","Wed Sep 24 13:19:17 UTC 2025","passed","Wed Sep 24 13:19:17 UTC 2025","Update entity","Courses","",""
"","18","Delete exercise","LMS service","Wed Sep 24 13:19:21 UTC 2025","passed","Wed Sep 24 13:19:21 UTC 2025","Delete entity","Exercises","",""
"","283","Create user","LMS service","Wed Sep 24 13:19:26 UTC 2025","passed","Wed Sep 24 13:19:26 UTC 2025","Create entity","Users","",""
"","281","Login with correct email and password","LMS service","Wed Sep 24 13:19:16 UTC 2025","passed","Wed Sep 24 13:19:16 UTC 2025","Login","Authentication","",""
"","285","Create user","LMS service","Wed Sep 24 13:19:26 UTC 2025","passed","Wed Sep 24 13:19:26 UTC 2025","Create entity","Users","",""
"","29","Create course","LMS service","Wed Sep 24 13:19:17 UTC 2025","passed","Wed Sep 24 13:19:17 UTC 2025","Create entity","Courses","",""
"","13","Get user me","LMS service","Wed Sep 24 13:19:27 UTC 2025","passed","Wed Sep 24 13:19:27 UTC 2025","Get entity","Users","",""
"","26","Get courses","LMS service","Wed Sep 24 13:19:18 UTC 2025","passed","Wed Sep 24 13:19:18 UTC 2025","Get entities","Courses","",""
"","16","Delete file","LMS service","Wed Sep 24 13:19:24 UTC 2025","passed","Wed Sep 24 13:19:24 UTC 2025","Delete entity","Files","",""
"","13","Get file with incorrect file_id","LMS service","Wed Sep 24 13:19:23 UTC 2025","passed","Wed Sep 24 13:19:23 UTC 2025","Validate entity","Files","",""
"","57","Create file","LMS service","Wed Sep 24 13:19:22 UTC 2025","passed","Wed Sep 24 13:19:22 UTC 2025","Create entity","Files","",""
"","13","Get exercise","LMS service","Wed Sep 24 13:19:19 UTC 2025","passed","Wed Sep 24 13:19:19 UTC 2025","Get entity","Exercises","",""
"","19","Update exercise","LMS service","Wed Sep 24 13:19:20 UTC 2025","passed","Wed Sep 24 13:19:20 UTC 2025","Update entity","Exercises","",""
